Region,Funding Group,Number of Schools,Students,Teachers,Administrators,Students per School,Students per Teacher,Students per Administrator
Riyadh,Publicly funded (Government),752,251414,20039,3759,334.32712765957444,12.546234842057986,66.88321362064379
Riyadh,Fee-paying (Private + International),558,107084,6384,625,191.90681003584228,16.773809523809526,171.3344
Makkah,Publicly funded (Government),749,278378,24988,1971,371.66622162883846,11.140467424363695,141.23693556570268
Makkah,Fee-paying (Private + International),307,53157,4019,497,173.14983713355048,13.226424483702413,106.95573440643864
Eastern,Publicly funded (Government),430,171380,13054,1773,398.5581395348837,13.12854297533323,96.66102650874224
Eastern,Fee-paying (Private + International),206,33361,2261,201,161.94660194174756,14.754975674480319,165.97512437810946
Asir,Publicly funded (Government),471,107840,10255,1454,228.9596602972399,10.515845928815212,74.1678129298487
Asir,Fee-paying (Private + International),46,6602,458,14,143.52173913043478,14.414847161572052,471.57142857142856
Al Madinah,Publicly funded (Government),312,88947,7960,1035,285.08653846153845,11.174246231155779,85.93913043478261
Al Madinah,Fee-paying (Private + International),71,12786,916,58,180.08450704225353,13.958515283842795,220.44827586206895
Jazan,Publicly funded (Government),277,78237,5891,531,282.44404332129966,13.280767272109998,147.33898305084745
Jazan,Fee-paying (Private + International),14,1960,127,4,140.0,15.433070866141732,490.0
Al-Qassim,Publicly funded (Government),284,64706,6987,619,227.83802816901408,9.260913124373838,104.53311793214863
Al-Qassim,Fee-paying (Private + International),46,6478,352,21,140.82608695652175,18.40340909090909,308.4761904761905
Tabuk,Publicly funded (Government),149,38988,3008,537,261.66442953020135,12.961436170212766,72.60335195530726
Tabuk,Fee-paying (Private + International),31,9229,541,44,297.7096774193548,17.059149722735675,209.75
Ha'il,Publicly funded (Government),181,35459,3851,176,195.9060773480663,9.207738249805246,201.4715909090909
Ha'il,Fee-paying (Private + International),13,2304,158,5,177.23076923076923,14.582278481012658,460.8
Al Jouf,Publicly funded (Government),99,27624,2349,274,279.030303030303,11.759897828863346,100.81751824817518
Al Jouf,Fee-paying (Private + International),34,5759,368,13,169.38235294117646,15.64945652173913,443.0
Najran,Publicly funded (Government),107,30063,2261,385,280.9626168224299,13.296329057938966,78.08571428571429
Najran,Fee-paying (Private + International),12,1864,98,5,155.33333333333334,19.020408163265305,372.8
Northern Borders,Publicly funded (Government),77,18181,1566,67,236.11688311688312,11.609833971902937,271.35820895522386
Northern Borders,Fee-paying (Private + International),12,1693,89,4,141.08333333333334,19.02247191011236,423.25
Al Bahah,Publicly funded (Government),115,18263,2341,103,158.80869565217392,7.801366937206322,177.3106796116505
Al Bahah,Fee-paying (Private + International),3,146,9,0,48.666666666666664,16.22222222222222,
