Region,Rank,Students per School,Difference from National Mean
Eastern,1,321.9198113207547,50.840087646370876
Makkah,2,313.9535984848485,42.873874810464656
Jazan,3,275.59106529209623,4.5113416177123895
Riyadh,4,273.6625954198473,2.5828717454634784
Najran,5,268.29411764705884,-2.7856060273250023
Tabuk,6,267.8722222222222,-3.2075014521616367
Al Madinah,7,265.62140992167105,-5.458313752712797
Al Jouf,8,251.0,-20.079723674383843
Northern Borders,9,223.30337078651687,-47.77635288786698
Asir,10,221.357833655706,-49.72189001867784
Al-Qassim,11,215.70909090909092,-55.370632765292925
Ha'il,12,194.65463917525773,-76.42508449912611
Al Bahah,13,156.0084745762712,-115.07124909811265
