Region,Number of Schools,Students,Teachers,Administrators,Students per School,Students per Teacher,Students per Administrator,Load Rank
Riyadh,1310,358498,26423,4384,273.6625954198473,13.567649396359233,81.77417883211679,4
Makkah,1056,331535,29007,2468,313.9535984848485,11.429482538697556,134.33346839546192,2
Eastern,636,204741,15315,1974,321.9198113207547,13.368658178256611,103.71884498480243,1
Asir,517,114442,10713,1468,221.357833655706,10.68253523756184,77.95776566757493,10
Al Madinah,383,101733,8876,1093,265.62140992167105,11.461581793600722,93.07685269899359,7
Jazan,291,80197,6018,535,275.59106529209623,13.326188102359588,149.90093457943925,3
Al-Qassim,330,71184,7339,640,215.70909090909092,9.699414089112958,111.225,11
Tabuk,180,48217,3549,581,267.8722222222222,13.586080586080586,82.98967297762478,6
Ha'il,194,37763,4009,181,194.65463917525773,9.419555999002245,208.6353591160221,12
Al Jouf,133,33383,2717,287,251.0,12.286713286713287,116.3170731707317,8
Najran,119,31927,2359,390,268.29411764705884,13.534124629080118,81.86410256410257,5
Northern Borders,89,19874,1655,71,223.30337078651687,12.00845921450151,279.9154929577465,9
Al Bahah,118,18409,2350,103,156.0084745762712,7.833617021276596,178.72815533980582,13
